IN VEH || start:-398,9926, 806,9512, 222,63179    Rot:    -169,32462
IN VEH || 1:282,09293, 832,8769, 191,4665    Rot:    -14,892073
IN VEH || 2:312,68573, 1001,1451, 209,8595    Rot:    90,30444
IN VEH || finish:-342,85498, 944,4129, 232,06987    Rot:    150,14966
ON FOOT|| house:-429,46597, 1109,4248, 327,68198    Rot:    162,43967
ON FOOT|| гараж:-414,38492, 1111,6705, 325,86548    Rot:    -110,70648
ON FOOT|| пикап выхода:179,03569, -1005,3541, -98,99993    Rot:    179,50809
ON FOOT|| Выход из гаража:172,88823, -1005,8173, -98,99993    Rot:    178,33351
IN VEH || 1:175,57777, -1003,6113, -99,681    Rot:    -178,4336
IN VEH || 2:171,66412, -1003,73596, -99,67906    Rot:    -177,80727
IN VEH || 1:193,0595, -998,85315, -99,68073    Rot:    -179,30615
IN VEH || 2:196,57741, -998,9872, -99,68111    Rot:    -178,6532
IN VEH || 3:200,02084, -998,96313, -99,68071    Rot:    -179,25778
IN VEH || 4:203,76367, -998,8757, -99,68072    Rot:    -179,14012
ON FOOT|| start point:825,0543, -2945,1091, 5,906916    Rot:    -136,18591
ON FOOT|| end point:1202,0166, -3069,2056, 5,8875637    Rot:    65,5869
ON FOOT|| No Set:402,55817, -996,4657, -99,00027    Rot:    176,13338
ON FOOT|| cam:403,71753, -999,5208, -97,65833    Rot:    79,75042
ON FOOT|| No Set:402,2458, -1000,38745, -99,00413    Rot:    2,2406845
ON FOOT|| No Set:402,2458, -1000,38745, -99,00413    Rot:    2,2406845
ON FOOT|| No Set:402,65216, -1000,26294, -99,00414    Rot:    -3,4659793
ON FOOT|| No Set:-427,4464, 1116,9916, 326,76862    Rot:    -20,288025
ON FOOT|| No Set:2342,443, 261,26398, 197,02042    Rot:    -16,632547
ON FOOT|| No Set:2342,7922, 255,40872, 193,50531    Rot:    -26,882763
ON FOOT|| No Set:2338,4814, 238,27805, 195,79007    Rot:    -26,315529
ON FOOT|| camVS:-49,86034, -1099,9014, 26,422338    Rot:    -61,248775
IN VEH || vsCar:-41,484047, -1096,5426, 25,741745    Rot:    97,280594
ON FOOT|| VSCamFinal:-46,448814, -1100,5309, 26,422335    Rot:    -48,993202
ON FOOT|| No Set:-48,43142, -1101,4808, 26,422335    Rot:    124,85936
